iter	Passed	Remaining
0	86	86544
1	90	45038
2	94	31533
3	99	24811
4	103	20653
5	107	17846
6	110	15715
7	113	14077
8	116	12803
9	119	11823
10	122	10979
11	125	10359
12	128	9778
13	131	9261
14	134	8837
15	137	8455
16	140	8112
17	143	7821
18	146	7554
19	149	7328
20	152	7125
21	156	6942
22	159	6780
23	162	6603
24	165	6450
25	168	6306
26	171	6169
27	174	6044
28	177	5949
29	180	5837
30	183	5738
31	186	5648
32	189	5555
33	192	5466
34	194	5375
35	197	5300
36	201	5235
37	204	5175
38	207	5119
39	211	5084
40	214	5025
41	217	4967
42	220	4910
43	223	4863
44	226	4817
45	230	4774
46	233	4729
47	236	4695
48	239	4652
49	244	4645
50	247	4604
51	250	4570
52	254	4543
53	257	4511
54	260	4472
55	262	4432
56	266	4404
57	269	4376
58	272	4341
59	275	4316
60	278	4291
61	282	4268
62	285	4240
63	288	4222
64	291	4192
65	294	4169
66	298	4154
67	301	4131
68	305	4125
69	309	4105
70	312	4091
71	316	4073
72	319	4053
73	323	4046
74	326	4025
75	330	4017
76	334	4004
77	337	3986
78	340	3972
79	343	3949
80	345	3925
81	349	3908
82	350	3875
83	354	3866
84	357	3849
85	361	3837
86	363	3819
87	366	3800
88	370	3788
89	373	3780
90	377	3774
91	380	3757
92	383	3742
93	386	3725
94	389	3708
95	391	3690
96	394	3674
97	397	3659
98	401	3650
99	405	3645
100	409	3642
101	413	3638
102	418	3643
103	424	3653
104	427	3642
105	431	3637
106	434	3624
107	437	3611
108	440	3602
109	444	3594
110	447	3580
111	450	3570
112	453	3560
113	456	3548
114	459	3536
115	462	3525
116	465	3511
117	469	3507
118	472	3498
119	475	3489
120	479	3483
121	481	3468
122	484	3457
123	488	3449
124	491	3437
125	494	3430
126	498	3427
127	501	3416
128	506	3417
129	509	3411
130	513	3406
131	517	3402
132	520	3392
133	525	3395
134	528	3385
135	531	3377
136	536	3379
137	540	3374
138	545	3375
139	548	3369
140	551	3361
141	554	3348
142	557	3340
143	561	3337
144	564	3327
145	569	3329
146	572	3321
147	575	3313
148	578	3306
149	581	3297
150	585	3293
151	588	3285
152	591	3276
153	594	3268
154	597	3259
155	600	3251
156	603	3242
157	607	3237
158	611	3233
159	614	3228
160	617	3217
161	620	3209
162	624	3206
163	628	3202
164	633	3203
165	637	3203
166	641	3200
167	644	3192
168	648	3188
169	652	3183
170	655	3180
171	661	3183
172	665	3179
173	668	3173
174	675	3183
175	680	3185
176	683	3177
177	686	3170
178	689	3160
179	692	3155
180	695	3148
181	699	3143
